iter 0: loss 10.9796, time 63544.90ms, mfu -100.00%
iter 10: loss 10.6422, time 3796.35ms, mfu 3.59%
iter 20: loss 10.1029, time 3789.31ms, mfu 3.59%
iter 30: loss 9.6971, time 3795.44ms, mfu 3.59%
iter 40: loss 9.6361, time 3800.58ms, mfu 3.59%
iter 50: loss 9.4784, time 3805.37ms, mfu 3.59%
iter 60: loss 9.2822, time 3795.74ms, mfu 3.59%
iter 70: loss 9.3210, time 3791.13ms, mfu 3.59%
iter 80: loss 9.0114, time 3797.23ms, mfu 3.59%
iter 90: loss 8.7401, time 3837.33ms, mfu 3.59%
Iter 100: Alloc: 1.40GB, Cached: 6.12GB, Max: 4.97GB
iter 100: loss 8.7012, time 3794.89ms, mfu 3.59%
iter 110: loss 8.6700, time 3799.04ms, mfu 3.59%
iter 120: loss 8.2879, time 3797.21ms, mfu 3.59%
iter 130: loss 8.5885, time 3790.58ms, mfu 3.59%
iter 140: loss 8.2636, time 3798.19ms, mfu 3.59%
iter 150: loss 8.0698, time 3795.90ms, mfu 3.59%
iter 160: loss 7.5829, time 3800.37ms, mfu 3.59%
iter 170: loss 7.8250, time 3800.41ms, mfu 3.59%
iter 180: loss 7.6243, time 3796.53ms, mfu 3.59%
iter 190: loss 8.3169, time 3802.01ms, mfu 3.59%
Iter 200: Alloc: 1.40GB, Cached: 6.12GB, Max: 4.97GB
iter 200: loss 7.0527, time 3799.93ms, mfu 3.59%
iter 210: loss 7.4272, time 3798.76ms, mfu 3.59%
iter 220: loss 7.0869, time 3817.07ms, mfu 3.59%
iter 230: loss 7.0480, time 3800.05ms, mfu 3.59%
iter 240: loss 7.1072, time 3800.06ms, mfu 3.59%
iter 250: loss 7.1177, time 3802.98ms, mfu 3.59%
iter 260: loss 7.0051, time 3792.22ms, mfu 3.59%
iter 270: loss 6.9804, time 3797.26ms, mfu 3.59%
iter 280: loss 6.9527, time 3794.09ms, mfu 3.59%
iter 290: loss 6.9592, time 3809.46ms, mfu 3.59%
Iter 300: Alloc: 1.40GB, Cached: 6.12GB, Max: 4.97GB
iter 300: loss 6.7148, time 3850.50ms, mfu 3.58%
iter 310: loss 6.5891, time 3823.04ms, mfu 3.58%
iter 320: loss 6.7318, time 3798.37ms, mfu 3.58%
iter 330: loss 6.5171, time 3794.53ms, mfu 3.58%
iter 340: loss 6.7992, time 3797.16ms, mfu 3.58%
iter 350: loss 6.6467, time 3800.41ms, mfu 3.58%
iter 360: loss 6.5984, time 3805.34ms, mfu 3.58%
iter 370: loss 6.3411, time 3815.89ms, mfu 3.58%
iter 380: loss 6.2876, time 3804.28ms, mfu 3.58%
iter 390: loss 6.9847, time 3796.82ms, mfu 3.58%
Iter 400: Alloc: 1.40GB, Cached: 6.12GB, Max: 4.97GB
iter 400: loss 6.3799, time 3795.67ms, mfu 3.58%
iter 410: loss 6.7479, time 3796.19ms, mfu 3.58%
iter 420: loss 6.5379, time 3797.62ms, mfu 3.58%
iter 430: loss 6.6205, time 3794.86ms, mfu 3.58%
iter 440: loss 6.4009, time 3790.29ms, mfu 3.59%
iter 450: loss 6.5471, time 3803.49ms, mfu 3.59%
iter 460: loss 6.3878, time 3791.61ms, mfu 3.59%
iter 470: loss 6.3126, time 3798.30ms, mfu 3.59%
iter 480: loss 6.4843, time 3807.11ms, mfu 3.59%
iter 490: loss 6.3074, time 3793.25ms, mfu 3.59%
Iter 500: Alloc: 1.40GB, Cached: 6.12GB, Max: 4.97GB
step 500: train loss 6.2297, val loss 6.2420
saving checkpoint to out-subset-norm
iter 500: loss 6.4210, time 23277.89ms, mfu 3.29%
iter 510: loss 6.3056, time 3794.05ms, mfu 3.32%
iter 520: loss 6.2955, time 3794.75ms, mfu 3.34%
iter 530: loss 6.1463, time 3794.14ms, mfu 3.37%
iter 540: loss 6.4261, time 3794.93ms, mfu 3.39%
iter 550: loss 6.2216, time 3800.45ms, mfu 3.41%
iter 560: loss 6.0648, time 3799.24ms, mfu 3.43%
iter 570: loss 6.2508, time 3803.59ms, mfu 3.44%
iter 580: loss 5.8959, time 3806.61ms, mfu 3.46%
iter 590: loss 6.0586, time 3798.54ms, mfu 3.47%
Iter 600: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 600: loss 6.4014, time 3788.28ms, mfu 3.48%
iter 610: loss 6.3589, time 3804.16ms, mfu 3.49%
iter 620: loss 6.3557, time 3795.90ms, mfu 3.50%
iter 630: loss 5.8885, time 3796.77ms, mfu 3.51%
iter 640: loss 6.1412, time 3802.17ms, mfu 3.52%
iter 650: loss 5.6319, time 3806.05ms, mfu 3.52%
iter 660: loss 5.9259, time 3803.72ms, mfu 3.53%
iter 670: loss 5.9933, time 3801.14ms, mfu 3.54%
iter 680: loss 6.0878, time 3796.78ms, mfu 3.54%
iter 690: loss 5.7935, time 3796.97ms, mfu 3.55%
Iter 700: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 700: loss 6.0514, time 3805.69ms, mfu 3.55%
iter 710: loss 5.8741, time 3794.90ms, mfu 3.55%
iter 720: loss 6.1539, time 3797.34ms, mfu 3.56%
iter 730: loss 5.4142, time 3791.14ms, mfu 3.56%
iter 740: loss 5.5925, time 3805.24ms, mfu 3.56%
iter 750: loss 5.8840, time 3796.99ms, mfu 3.57%
iter 760: loss 5.7608, time 3804.18ms, mfu 3.57%
iter 770: loss 5.8189, time 3793.86ms, mfu 3.57%
