iteration,train_loss,val_loss,timestamp,lr,mfu
0,10.9796,10.976262,1770455820,3.00E-06,-1
10,10.6422,10.631429,1770455876,3.30E-05,-1
20,10.1029,10.173839,1770455914,6.30E-05,0.0359
30,9.6971,9.780177,1770455951,9.30E-05,0.0359
40,9.6361,9.757831,1770455988,0.00012294,0.0359
50,9.4784,9.410968,1770456025,0.00015292,0.0359
60,9.2822,9.087176,1770456063,0.00018291,0.0359
70,9.321,8.941546,1770456100,0.00021289,0.0359
80,9.0114,8.891623,1770456137,0.00024288,0.0359
90,8.7401,8.794117,1770456174,0.00027286,0.0359
100,8.7012,8.878558,1770456212,0.00030285,0.0359
110,8.67,8.833528,1770456249,0.00033283,0.0359
120,8.2879,8.517644,1770456286,0.00036282,0.0359
130,8.5885,8.562122,1770456323,0.0003928,0.0359
140,8.2636,8.369573,1770456361,0.00042279,0.0359
150,8.0698,7.9839,1770456398,0.00045277,0.0359
160,7.5829,8.073423,1770456435,0.00048276,0.0359
170,7.825,7.713433,1770456473,0.00051274,0.0359
180,7.6243,7.796341,1770456510,0.00054273,0.0359
190,8.3169,7.840046,1770456547,0.00057271,0.0359
200,7.0527,7.359095,1770456584,0.0006027,0.0359
210,7.4272,7.265099,1770456622,0.00063268,0.0359
220,7.0869,7.247063,1770456659,0.00066267,0.0359
230,7.048,6.951611,1770456696,0.00069265,0.0359
240,7.1072,7.448164,1770456733,0.00072264,0.0359
250,7.1177,7.403959,1770456771,0.00075262,0.0359
260,7.0051,6.973837,1770456808,0.00078261,0.0359
270,6.9804,7.18817,1770456845,0.00081259,0.0359
280,6.9527,7.167922,1770456882,0.00084258,0.0359
290,6.9592,6.724053,1770456920,0.00087256,0.0359
300,6.7148,7.102398,1770456957,0.00090255,0.0359
310,6.5891,6.561768,1770456994,0.00093253,0.0358
320,6.7318,6.492876,1770457032,0.00096252,0.0358
330,6.5171,6.916305,1770457069,0.0009925,0.0358
340,6.7992,6.758811,1770457106,0.00102249,0.0358
350,6.6467,6.387015,1770457143,0.00105247,0.0358
360,6.5984,6.707802,1770457181,0.00108246,0.0358
370,6.3411,6.587024,1770457218,0.00111244,0.0358
380,6.2876,6.296545,1770457255,0.00114243,0.0358
390,6.9847,6.670479,1770457292,0.00117241,0.0358
400,6.3799,6.394132,1770457330,0.0012024,0.0358
410,6.7479,6.211177,1770457367,0.00123238,0.0358
420,6.5379,6.600754,1770457404,0.00126237,0.0358
430,6.6205,6.608783,1770457442,0.00129235,0.0358
440,6.4009,6.402081,1770457479,0.00132234,0.0358
450,6.5471,6.54921,1770457516,0.00135232,0.0359
460,6.3878,6.149328,1770457553,0.00138231,0.0359
470,6.3126,6.179625,1770457591,0.00141229,0.0359
480,6.4843,6.078001,1770457628,0.00144228,0.0359
490,6.3074,5.763601,1770457665,0.00147226,0.0359
500,6.421,6.241976,1770457719,0.00150225,0.0359
510,6.3056,6.422526,1770457759,0.00153223,0.0329
520,6.2955,6.27433,1770457796,0.00156222,0.0332
530,6.1463,6.682237,1770457834,0.0015922,0.0334
540,6.4261,6.419264,1770457871,0.00162219,0.0337
550,6.2216,5.935803,1770457908,0.00165217,0.0339
560,6.0648,6.155046,1770457946,0.00168216,0.0341
570,6.2508,6.129178,1770457983,0.00171214,0.0343
580,5.8959,6.333182,1770458020,0.00174213,0.0344
590,6.0586,6.059105,1770458057,0.00177211,0.0346
600,6.4014,5.806955,1770458095,0.0018021,0.0347
610,6.3589,6.006892,1770458132,0.00183208,0.0348
620,6.3557,5.901379,1770458169,0.00186207,0.0349
630,5.8885,5.695135,1770458207,0.00189205,0.035
640,6.1412,5.871324,1770458244,0.00192204,0.0351
650,5.6319,5.804867,1770458281,0.00195202,0.0352
660,5.9259,5.903751,1770458318,0.00198201,0.0352
670,5.9933,6.386623,1770458356,0.00201199,0.0353
680,6.0878,5.813782,1770458393,0.00204198,0.0354
690,5.7935,5.905697,1770458430,0.00207196,0.0354
700,6.0514,6.171659,1770458468,0.00210195,0.0355
710,5.8741,5.874814,1770458505,0.00213193,0.0355
720,6.1539,5.833732,1770458542,0.00216192,0.0355
730,5.4142,5.744873,1770458579,0.0021919,0.0356
740,5.5925,5.682095,1770458617,0.00222189,0.0356
750,5.884,5.473999,1770458654,0.00225187,0.0356
760,5.7608,6.138428,1770458691,0.00228186,0.0357
770,5.8189,5.605393,1770458729,0.00231184,0.0357
780,5.5281,5.771772,1770458766,0.00234183,0.0357
790,5.6671,5.904988,1770458803,0.00237181,0.0357
800,5.6086,5.614393,1770458840,0.0024018,0.0357
810,5.86,5.83383,1770458878,0.00243178,0.0357
820,5.5607,5.92241,1770458915,0.00246177,0.0357
830,5.3411,5.727695,1770458952,0.00249175,0.0357
840,5.6612,5.378418,1770458990,0.00252174,0.0358
850,5.6852,5.421358,1770459027,0.00255172,0.0358
860,5.5475,5.536591,1770459064,0.00258171,0.0358
870,5.8745,5.590464,1770459102,0.00261169,0.0358
880,5.4527,5.297619,1770459139,0.00264168,0.0358
890,5.19,5.445626,1770459176,0.00267166,0.0358
900,5.7222,5.809061,1770459213,0.00270165,0.0358
910,5.7518,5.584507,1770459251,0.00273163,0.0358
920,5.6698,5.674789,1770459288,0.00276162,0.0358
930,5.5826,5.712913,1770459325,0.0027916,0.0358
940,5.4464,5.390319,1770459362,0.00282159,0.0358
950,5.9875,5.521905,1770459400,0.00285157,0.0358
960,5.5003,5.384628,1770459437,0.00288156,0.0358
970,5.3001,5.221387,1770459474,0.00291154,0.0358
980,5.3345,5.256424,1770459512,0.00294153,0.0358
990,5.5202,5.451247,1770459549,0.00297151,0.0359
1000,5.4495,5.474716,1770459603,0.0030015,0.0359
1010,5.5612,5.395118,1770459643,0.00303148,0.0329
1020,5.1697,5.628923,1770459680,0.00306147,0.0331
1030,5.0965,5.260797,1770459718,0.00309145,0.0334
1040,5.3969,5.708897,1770459755,0.00312144,0.0337
1050,5.4989,5.326585,1770459792,0.00315142,0.0339
1060,5.463,5.2815,1770459830,0.00318141,0.0341
1070,5.3881,5.529956,1770459867,0.00321139,0.0343
1080,5.3301,5.469619,1770459904,0.00324138,0.0344
1090,5.6141,5.245291,1770459941,0.00327136,0.0346
1100,5.6021,5.152818,1770459979,0.00330135,0.0347
1110,5.2688,5.128778,1770460016,0.00333133,0.0348
1120,5.3454,5.796677,1770460053,0.00336132,0.0349
1130,5.2225,5.229578,1770460091,0.0033913,0.035
1140,5.4342,5.213686,1770460128,0.00342129,0.0351
1150,5.3342,5.556511,1770460165,0.00345127,0.0352
1160,5.3842,5.039106,1770460202,0.00348126,0.0353
1170,5.2349,4.999127,1770460240,0.00351124,0.0353
1180,5.4612,5.526788,1770460277,0.00354123,0.0354
1190,5.3053,5.229114,1770460314,0.00357121,0.0354
1200,5.4972,5.03063,1770460352,0.0036012,0.0355
1210,5.4251,5.272488,1770460389,0.00363118,0.0355
1220,5.2236,5.176669,1770460426,0.00366117,0.0355
1230,5.6326,5.413207,1770460463,0.00369115,0.0356
1240,5.1381,5.537935,1770460501,0.00372114,0.0356
1250,5.2796,5.266427,1770460538,0.00375112,0.0356
1260,5.0153,5.188261,1770460575,0.00378111,0.0357
1270,5.2161,5.647156,1770460613,0.00381109,0.0357
1280,4.9086,4.707218,1770460650,0.00384108,0.0357
1290,5.38,5.289223,1770460687,0.00387106,0.0357
1300,4.8824,5.392629,1770460724,0.00390105,0.0357
1310,5.035,5.168749,1770460762,0.00393103,0.0357
1320,5.1392,4.985216,1770460799,0.00396102,0.0358
1330,5.0646,5.15163,1770460836,0.003991,0.0358
1340,4.9622,4.997984,1770460874,0.00402099,0.0358
1350,5.1694,4.897083,1770460911,0.00405097,0.0358
1360,5.4169,4.919102,1770460948,0.00408096,0.0358
1370,5.217,4.876863,1770460986,0.00411094,0.0358
1380,5.082,4.894263,1770461023,0.00414093,0.0358
1390,5.1443,5.20511,1770461061,0.00417091,0.0356
1400,5.1595,5.036893,1770461098,0.0042009,0.0356
1410,5.1285,4.7188,1770461136,0.00423088,0.0356
1420,4.9593,4.647313,1770461173,0.00426087,0.0356
1430,4.9164,4.852304,1770461210,0.00429085,0.0357
1440,4.8373,5.393225,1770461248,0.00432084,0.0357
1450,4.8485,4.951763,1770461285,0.00435082,0.0357
1460,4.7518,4.596453,1770461322,0.00438081,0.0357
1470,5.0776,5.034447,1770461359,0.00441079,0.0357
1480,4.9818,4.807933,1770461397,0.00444078,0.0358
1490,4.7819,5.114093,1770461434,0.00447076,0.0357
1500,4.8244,5.014324,1770461488,0.00450075,0.0358
1510,4.7801,5.269885,1770461528,0.00453073,0.0328
1520,4.8999,4.801167,1770461566,0.00456072,0.0331
1530,4.9361,4.977587,1770461603,0.0045907,0.0333
1540,5.1791,4.753395,1770461640,0.00462069,0.0336
1550,4.873,5.019797,1770461678,0.00465067,0.0338
1560,5.2056,4.838343,1770461715,0.00468066,0.034
1570,5.1319,4.988035,1770461752,0.00471064,0.0342
1580,4.6541,5.085829,1770461789,0.00474063,0.0344
1590,4.8685,5.272056,1770461827,0.00477061,0.0345
1600,4.9079,4.717019,1770461864,0.0048006,0.0347
1610,4.7979,4.960468,1770461901,0.00483058,0.0348
1620,4.6849,5.460639,1770461939,0.00486057,0.0349
1630,5.2107,4.827738,1770461976,0.00489055,0.035
1640,4.8455,4.75026,1770462013,0.00492054,0.0351
1650,4.8488,4.769566,1770462050,0.00495052,0.0351
1660,4.8531,4.875646,1770462088,0.00498051,0.0352
1670,5.0017,4.918642,1770462125,0.00501049,0.0353
1680,4.6267,4.841447,1770462162,0.00504048,0.0353
1690,5.1949,4.702231,1770462200,0.00507046,0.0354
1700,4.5435,4.61096,1770462237,0.00510045,0.0355
1710,4.6717,4.776148,1770462274,0.00513043,0.0355
1720,4.7028,4.766113,1770462311,0.00516042,0.0355
1730,4.6733,4.873896,1770462349,0.0051904,0.0356
1740,4.6417,4.627414,1770462386,0.00522039,0.0356
1750,4.8344,5.278099,1770462423,0.00525037,0.0356
1760,4.6225,4.701549,1770462461,0.00528036,0.0357
1770,4.8096,4.666657,1770462498,0.00531034,0.0357
1780,4.7778,4.664602,1770462535,0.00534033,0.0357
1790,4.8013,4.464607,1770462572,0.00537031,0.0357
1800,4.7666,4.557466,1770462610,0.0054003,0.0357
1810,4.2562,5.037591,1770462647,0.00543028,0.0358
1820,4.8075,4.814128,1770462684,0.00546027,0.0357
1830,4.7013,4.473304,1770462722,0.00549025,0.0357
1840,4.6073,4.52969,1770462759,0.00552024,0.0358
1850,4.2954,4.705635,1770462796,0.00555022,0.0358
1860,4.4299,4.523309,1770462834,0.00558021,0.0358
1870,4.8299,4.710922,1770462871,0.00561019,0.0358
1880,4.7422,4.461582,1770462908,0.00564018,0.0358
1890,4.5642,4.79545,1770462945,0.00567016,0.0358
1900,4.7261,4.726588,1770462983,0.00570015,0.0358
1910,4.8305,4.699036,1770463020,0.00573013,0.0358
1920,4.4769,4.964121,1770463057,0.00576012,0.0358
1930,4.602,4.518761,1770463095,0.0057901,0.0358
1940,4.6432,4.525994,1770463132,0.00582009,0.0358
