iteration,train_loss,val_loss,timestamp,lr,mfu
0,10.974174,10.976262,1770361306.7038703,3e-07,-1.0
10,10.447906,10.461568,1770361348.3088584,3.3e-06,0.0369
20,9.983307,9.999562,1770361385.7641826,6.3e-06,0.0369
30,9.658092,9.569676,1770361423.222034,9.3e-06,0.0369
40,9.603282,9.318662,1770361460.6529715,1.229e-05,0.0369
50,9.39261,9.878941,1770361498.0819452,1.529e-05,0.0369
60,9.194924,9.339522,1770361535.5139306,1.829e-05,0.0368
70,9.231127,8.965528,1770361573.0124063,2.129e-05,0.0369
80,8.841171,9.021385,1770361610.4974587,2.429e-05,0.0368
90,8.581499,8.483489,1770361647.930321,2.729e-05,0.0368
100,8.458453,8.573749,1770361685.3617637,3.028e-05,0.0368
110,8.304608,8.068942,1770361722.8016696,3.328e-05,0.0368
120,7.879745,7.901031,1770361760.2598486,3.628e-05,0.0368
130,8.126504,7.865808,1770361797.7196095,3.928e-05,0.0368
140,7.76348,7.503151,1770361835.1366515,4.228e-05,0.0368
150,7.510376,7.26251,1770361872.577769,4.528e-05,0.0368
160,7.041307,7.994975,1770361910.0792637,4.828e-05,0.0368
170,7.310308,7.144198,1770361947.5263512,5.127e-05,0.0368
180,7.07246,6.885864,1770361984.9520166,5.427e-05,0.0368
190,7.890422,6.902849,1770362022.400183,5.727e-05,0.0368
200,6.501181,6.817386,1770362059.8197465,6.027e-05,0.0368
210,7.006003,6.768415,1770362097.2587717,6.327e-05,0.0368
220,6.682207,7.295759,1770362134.6757448,6.627e-05,0.0368
230,6.655884,6.893461,1770362172.123179,6.927e-05,0.0368
240,6.734799,7.152367,1770362209.547556,7.226e-05,0.0368
250,6.771044,6.755744,1770362246.989038,7.526e-05,0.0368
260,6.640918,6.322725,1770362284.4073198,7.826e-05,0.0368
270,6.677818,6.288881,1770362321.8512914,8.126e-05,0.0368
280,6.623077,6.541664,1770362359.2668035,8.426e-05,0.0368
290,6.61928,6.734358,1770362396.713998,8.726e-05,0.0368
300,6.367119,6.375149,1770362434.135811,9.025e-05,0.0368
310,6.217823,6.485863,1770362471.582897,9.325e-05,0.0368
320,6.387095,6.559447,1770362509.004318,9.625e-05,0.0368
330,6.194506,6.290593,1770362546.4500246,9.925e-05,0.0368
340,6.507418,6.089209,1770362583.8720748,0.00010225,0.0368
350,6.303557,6.607525,1770362621.3185828,0.00010525,0.0368
360,6.307647,5.901781,1770362658.7528088,0.00010825,0.0368
370,6.06588,6.651747,1770362696.2007122,0.00011124,0.0368
380,5.965704,6.019129,1770362733.6268718,0.00011424,0.0368
390,6.616496,6.21476,1770362771.0583074,0.00011724,0.0368
400,6.133419,6.424085,1770362808.4865117,0.00012024,0.0368
410,6.338902,5.894543,1770362845.9280157,0.00012324,0.0368
420,6.18585,5.8543,1770362883.3507793,0.00012624,0.0368
430,6.32409,5.912282,1770362920.761192,0.00012924,0.0368
440,6.092263,6.445306,1770362958.177276,0.00013223,0.0368
450,6.262028,5.853178,1770362995.6189976,0.00013523,0.0368
460,6.085851,6.235652,1770363033.0375168,0.00013823,0.0368
470,5.964943,5.841321,1770363070.4674246,0.00014123,0.0368
480,6.146797,5.788914,1770363107.8863835,0.00014423,0.0368
490,6.015106,6.348427,1770363145.3306415,0.00014723,0.0368
500,5.921906,5.930778,1770363195.7465186,0.00015022,0.0368
510,5.986176,6.068773,1770363241.7245157,0.00015322,0.034
520,5.970063,5.863619,1770363279.143258,0.00015622,0.0342
530,5.870736,6.035812,1770363316.5859516,0.00015922,0.0345
540,6.069816,5.522607,1770363354.0079944,0.00016222,0.0347
550,6.004665,5.747775,1770363391.4377513,0.00016522,0.0349
560,5.863397,5.927612,1770363428.8602011,0.00016822,0.0351
570,6.018631,6.193957,1770363466.2949677,0.00017121,0.0353
580,5.672508,5.627845,1770363503.729808,0.00017421,0.0354
590,5.684999,5.698267,1770363541.155305,0.00017721,0.0356
600,6.028256,5.774174,1770363578.5409095,0.00018021,0.0357
610,5.930354,5.728595,1770363615.930949,0.00018321,0.0358
620,6.084722,5.822632,1770363653.3491397,0.00018621,0.0359
630,5.591013,5.738473,1770363690.7774158,0.00018921,0.036
640,5.852064,5.842905,1770363728.1757016,0.0001922,0.0361
650,5.436524,5.967803,1770363765.6199076,0.0001952,0.0362
660,5.803297,5.980885,1770363803.0302222,0.0001982,0.0362
670,5.888203,5.683804,1770363840.4659853,0.0002012,0.0363
680,5.799099,5.697886,1770363877.8885686,0.0002042,0.0363
690,5.649166,5.619314,1770363915.3022623,0.0002072,0.0364
700,5.877499,5.791429,1770363952.7228916,0.00021019,0.0364
710,5.674822,6.148095,1770363990.1557603,0.00021319,0.0365
720,5.935368,5.522499,1770364027.5757053,0.00021619,0.0365
730,5.31926,5.581754,1770364065.002169,0.00021919,0.0365
740,5.500811,5.916697,1770364102.4580622,0.00022219,0.0366
750,5.734214,5.634087,1770364139.8850913,0.00022519,0.0366
760,5.664124,5.456041,1770364177.3128452,0.00022819,0.0366
770,5.658342,5.325882,1770364214.7527122,0.00023118,0.0366
780,5.450895,5.504591,1770364252.1757133,0.00023418,0.0366
790,5.573292,5.614101,1770364289.6208923,0.00023718,0.0366
800,5.526361,5.645529,1770364327.0440564,0.00024018,0.0367
810,5.713689,5.667381,1770364364.4996498,0.00024318,0.0367
820,5.541717,5.768514,1770364401.9270558,0.00024618,0.0367
830,5.282285,5.27124,1770364439.3710842,0.00024918,0.0367
840,5.640976,5.516287,1770364476.7992592,0.00025217,0.0367
850,5.650967,5.386255,1770364514.2413335,0.00025517,0.0367
860,5.419603,5.626786,1770364551.6429546,0.00025817,0.0367
870,5.764945,5.900539,1770364589.113775,0.00026117,0.0367
880,5.395855,5.682653,1770364626.5464594,0.00026417,0.0367
890,5.226554,5.210522,1770364663.9750216,0.00026717,0.0367
900,5.638953,5.759983,1770364701.3854167,0.00027016,0.0367
910,5.652143,5.575607,1770364738.816582,0.00027316,0.0367
920,5.600376,5.543078,1770364776.2050788,0.00027616,0.0367
930,5.499381,5.491728,1770364813.639098,0.00027916,0.0367
940,5.462464,5.667164,1770364851.0528948,0.00028216,0.0368
950,6.019653,5.384224,1770364888.4678698,0.00028516,0.0368
960,5.506384,5.358599,1770364925.8921735,0.00028816,0.0368
970,5.356008,5.497742,1770364963.334293,0.00029115,0.0368
980,5.414696,5.659644,1770365000.744907,0.00029415,0.0368
990,5.555807,6.013868,1770365038.1649046,0.00029715,0.0368
1000,5.529174,5.526108,1770365087.9485729,0.00030015,0.0368
1010,5.656823,5.456596,1770365133.320773,0.00030315,0.034
1020,5.331327,5.535713,1770365170.735437,0.00030615,0.0343
1030,5.21473,5.380138,1770365208.1698592,0.00030915,0.0345
1040,5.532503,5.555845,1770365245.580458,0.00031214,0.0347
1050,5.578896,5.631878,1770365283.0049171,0.00031514,0.0349
1060,5.529993,5.52859,1770365320.4223847,0.00031814,0.0351
1070,5.517208,5.191046,1770365357.859475,0.00032114,0.0353
1080,5.446848,5.443285,1770365395.2550724,0.00032414,0.0354
1090,5.458043,5.303403,1770365432.6971736,0.00032714,0.0356
1100,5.694342,5.789836,1770365470.1188643,0.00033013,0.0357
1110,5.447758,5.233652,1770365507.558301,0.00033313,0.0358
1120,5.488154,5.332075,1770365544.981532,0.00033613,0.0359
1130,5.384014,5.632414,1770365582.4245386,0.00033913,0.036
1140,5.564306,5.316195,1770365619.8639076,0.00034213,0.0361
1150,5.484142,5.413827,1770365657.2898269,0.00034513,0.0361
1160,5.558478,5.347797,1770365694.7106764,0.00034813,0.0362
1170,5.408964,5.122319,1770365732.1468277,0.00035112,0.0363
1180,5.696694,5.462414,1770365769.571158,0.00035412,0.0363
1190,5.568218,5.502784,1770365807.011645,0.00035712,0.0364
1200,5.724432,5.376023,1770365844.4436002,0.00036012,0.0364
1210,5.605258,5.435053,1770365881.8792045,0.00036312,0.0364
1220,5.459115,5.501591,1770365919.3089726,0.00036612,0.0365
1230,5.833918,5.268453,1770365956.751334,0.00036912,0.0365
1240,5.46545,5.623631,1770365994.1779828,0.00037211,0.0365
1250,5.460857,5.40126,1770366031.6182168,0.00037511,0.0366
1260,5.242558,5.355635,1770366069.012115,0.00037811,0.0366
1270,5.440914,5.485975,1770366106.4830482,0.00038111,0.0366
1280,5.174257,5.843348,1770366143.902371,0.00038411,0.0366
1290,5.619795,5.427038,1770366181.3804884,0.00038711,0.0366
1300,5.112799,5.146954,1770366218.798387,0.0003901,0.0367
1310,5.331904,5.268011,1770366256.245993,0.0003931,0.0367
1320,5.41099,5.2852,1770366293.670841,0.0003961,0.0367
1330,5.353408,5.328876,1770366331.1092663,0.0003991,0.0367
1340,5.258502,5.651943,1770366368.534224,0.0004021,0.0367
1350,5.409486,5.585414,1770366405.9701014,0.0004051,0.0367
1360,5.735348,5.613226,1770366443.395532,0.0004081,0.0367
1370,5.504119,5.198947,1770366480.8423193,0.00041109,0.0367
1380,5.343909,5.519209,1770366518.267489,0.00041409,0.0367
1390,5.23997,5.110132,1770366555.7020867,0.00041709,0.0367
1400,5.486784,5.246404,1770366593.120618,0.00042009,0.0367
1410,5.473267,5.511742,1770366630.5635436,0.00042309,0.0367
1420,5.298058,5.356585,1770366667.9738972,0.00042609,0.0367
1430,5.269089,5.383347,1770366705.4284506,0.00042909,0.0367
1440,5.210757,4.965355,1770366742.855297,0.00043208,0.0367
1450,5.23657,5.618774,1770366780.3467405,0.00043508,0.0367
1460,5.191793,5.349739,1770366818.013648,0.00043808,0.0367
1470,5.431625,5.213663,1770366855.4552724,0.00044108,0.0367
1480,5.343718,5.228207,1770366892.8720627,0.00044408,0.0367
1490,5.274359,5.387026,1770366930.3206482,0.00044708,0.0368
1500,5.365795,5.394201,1770366980.369246,0.00045007,0.0368
1510,5.196494,5.172014,1770367026.2000833,0.00045307,0.0339
1520,5.412065,5.506138,1770367063.616573,0.00045607,0.0342
1530,5.40255,5.22148,1770367101.055073,0.00045907,0.0345
1540,5.621555,5.390794,1770367138.4751282,0.00046207,0.0347
1550,5.317549,5.272027,1770367175.9204166,0.00046507,0.0349
1560,5.635561,5.067929,1770367213.3403606,0.00046807,0.0351
1570,5.548506,5.374987,1770367250.787926,0.00047106,0.0353
1580,5.119483,6.16464,1770367288.1957736,0.00047406,0.0354
1590,5.398234,5.352758,1770367325.6259902,0.00047706,0.0356
1600,5.345839,5.617636,1770367363.0396297,0.00048006,0.0357
1610,5.263904,5.574925,1770367400.4722078,0.00048306,0.0358
1620,5.229293,5.295771,1770367437.8839357,0.00048606,0.0359
1630,5.690028,5.039139,1770367475.3265142,0.00048906,0.036
1640,5.263968,5.738447,1770367512.744173,0.00049205,0.0361
1650,5.368803,5.419171,1770367550.170927,0.00049505,0.0361
1660,5.425625,5.165284,1770367587.5927494,0.00049805,0.0362
1670,5.450768,5.092367,1770367625.0247812,0.00050105,0.0363
1680,5.249237,5.204503,1770367662.4364629,0.00050405,0.0363
1690,5.803984,5.185114,1770367699.8826993,0.00050705,0.0364
1700,5.112622,5.101807,1770367737.2915869,0.00051004,0.0364
1710,5.237804,5.061439,1770367774.7461388,0.00051304,0.0364
1720,5.212874,4.927384,1770367812.1624508,0.00051604,0.0365
1730,5.210966,5.631588,1770367849.5982082,0.00051904,0.0365
1740,5.210961,5.346675,1770367887.0223866,0.00052204,0.0365
1750,5.429935,5.533205,1770367924.463885,0.00052504,0.0366
1760,5.14193,5.51141,1770367961.8774712,0.00052804,0.0366
1770,5.321742,5.367123,1770367999.3126998,0.00053103,0.0366
1780,5.31801,5.447702,1770368036.7181077,0.00053403,0.0366
1790,5.354754,5.345415,1770368074.1465406,0.00053703,0.0367
1800,5.458722,5.211125,1770368111.5715327,0.00054003,0.0367
1810,4.83675,5.290595,1770368149.0072258,0.00054303,0.0367
1820,5.606287,5.30373,1770368186.4208913,0.00054603,0.0367
1830,5.248437,5.416053,1770368223.8609543,0.00054903,0.0367
1840,5.214409,5.064336,1770368261.2699687,0.00055202,0.0367
1850,4.950995,5.264223,1770368298.704355,0.00055502,0.0367
1860,5.039155,5.285504,1770368336.114864,0.00055802,0.0367
1870,5.453326,5.43566,1770368373.552189,0.00056102,0.0367
1880,5.527715,5.469819,1770368410.9618518,0.00056402,0.0367
1890,5.188112,5.741321,1770368448.395327,0.00056702,0.0368
1900,5.370656,5.352996,1770368485.813651,0.00057001,0.0368
1910,5.430626,5.231562,1770368523.2390423,0.00057301,0.0368
1920,5.597735,5.10841,1770368560.6790507,0.00057601,0.0368
1930,5.308155,5.129952,1770368598.118795,0.00057901,0.0368
1940,5.238627,5.905643,1770368635.55134,0.00058201,0.0368
1950,5.194466,5.290653,1770368672.9731967,0.00058501,0.0368
1960,5.315809,4.961666,1770368710.3946414,0.00058801,0.0368
1970,5.099739,5.515686,1770368747.827938,0.000591,0.0368
1980,5.41949,5.273847,1770368785.2370915,0.000594,0.0368
1990,5.603381,5.058215,1770368822.67845,0.000597,0.0368
2000,5.307237,5.321532,1770368872.9368465,0.0006,0.0368
2010,5.477297,5.252639,1770368918.083192,0.0006,0.034
2020,5.141732,5.596207,1770368955.5054598,0.0006,0.0343
2030,5.246134,5.651728,1770368992.9359844,0.0006,0.0345
2040,5.097046,5.030849,1770369030.3500834,0.00059999,0.0347
2050,5.619261,5.49275,1770369067.782725,0.00059999,0.0349
2060,5.536593,5.151583,1770369105.2145422,0.00059998,0.0351
2070,5.550326,5.610097,1770369142.6532154,0.00059998,0.0353
2080,5.490209,5.014676,1770369180.0512233,0.00059997,0.0354
2090,5.087662,5.726197,1770369217.4774344,0.00059996,0.0356
2100,5.505308,5.327352,1770369254.8830268,0.00059996,0.0357
2110,5.221691,5.426346,1770369292.3098364,0.00059995,0.0358
2120,5.04723,5.278391,1770369329.723142,0.00059994,0.0359
2130,5.671611,5.146968,1770369367.149122,0.00059992,0.036
2140,5.303676,5.314568,1770369404.5833714,0.00059991,0.036
2150,5.509683,5.296481,1770369442.0335944,0.0005999,0.0361
2160,5.404737,5.091883,1770369479.469881,0.00059989,0.0362
2170,5.720239,5.013587,1770369516.921486,0.00059987,0.0362
2180,5.242249,5.517401,1770369554.3538227,0.00059986,0.0363
2190,5.148298,5.258736,1770369591.779523,0.00059984,0.0363
2200,5.517754,5.183393,1770369629.2136362,0.00059982,0.0364
2210,5.209334,5.222336,1770369666.6427138,0.0005998,0.0364
2220,5.30313,5.199922,1770369704.0295696,0.00059978,0.0364
2230,5.287791,5.072663,1770369741.483945,0.00059976,0.0365
2240,5.022478,5.171042,1770369778.9045038,0.00059974,0.0365
2250,5.37956,5.214891,1770369816.3318725,0.00059972,0.0365
2260,5.426672,5.127718,1770369853.750461,0.0005997,0.0366
2270,5.309901,5.492653,1770369891.186892,0.00059968,0.0366
2280,4.878917,5.406511,1770369928.6136255,0.00059965,0.0366
2290,5.294244,4.971612,1770369966.0634294,0.00059963,0.0366
2300,5.495824,5.314478,1770370003.4964063,0.0005996,0.0366
2310,5.217221,5.169989,1770370040.9554174,0.00059957,0.0366
2320,5.610272,5.036661,1770370078.394302,0.00059954,0.0367
2330,5.246012,5.4124,1770370115.829326,0.00059951,0.0367
2340,5.404775,5.209046,1770370153.2413075,0.00059949,0.0367
2350,5.075154,5.638486,1770370190.6784017,0.00059945,0.0367
2360,5.125155,5.199724,1770370228.099755,0.00059942,0.0367
2370,5.684828,5.081069,1770370265.5333588,0.00059939,0.0367
2380,4.91875,5.451432,1770370302.95088,0.00059936,0.0367
2390,5.281903,4.925225,1770370340.3969526,0.00059932,0.0367
2400,5.234541,5.122869,1770370377.8245854,0.00059929,0.0367
2410,5.40161,5.15148,1770370415.2680526,0.00059925,0.0367
2420,5.293226,5.268454,1770370452.6954496,0.00059921,0.0367
2430,5.29327,5.318127,1770370490.1252017,0.00059918,0.0367
2440,5.336134,5.183111,1770370527.5470583,0.00059914,0.0367
2450,5.654106,5.359439,1770370565.0004516,0.0005991,0.0368
2460,5.535647,5.467927,1770370602.4257524,0.00059906,0.0368
2470,5.334194,4.974102,1770370639.8592038,0.00059902,0.0368
2480,5.186715,5.415512,1770370677.2919946,0.00059897,0.0368
2490,4.920253,5.273023,1770370714.725535,0.00059893,0.0368
2500,5.265357,5.277475,1770370764.9909568,0.00059889,0.0368
2510,5.353308,5.345232,1770370810.8652563,0.00059884,0.034
2520,5.515499,5.02012,1770370848.288981,0.0005988,0.0342
2530,5.038143,5.199377,1770370885.7290602,0.00059875,0.0345
2540,5.06042,5.373819,1770370923.1547055,0.0005987,0.0347
2550,4.794671,4.983862,1770370960.587524,0.00059865,0.0349
2560,5.206525,4.948235,1770370998.0104496,0.0005986,0.0351
2570,5.29007,5.187516,1770371035.4347165,0.00059855,0.0353
2580,5.032099,5.19842,1770371072.8629086,0.0005985,0.0354
2590,5.138692,5.410948,1770371110.2925384,0.00059845,0.0356
2600,5.063161,5.670747,1770371147.7176175,0.0005984,0.0357
2610,5.285608,5.087653,1770371185.1651,0.00059834,0.0358
2620,5.11586,5.421173,1770371222.5889888,0.00059829,0.0359
2630,5.111281,5.268595,1770371260.0408566,0.00059823,0.036
2640,5.360782,5.080957,1770371297.4487777,0.00059818,0.0361
